component	rfid	path length	clusterinng	degree	betweenness
comp 1	0006B8DA03	1.272727273	0.857142857	8	1
comp 1	0006CD5D56	1.090909091	0.644444444	10	5.333333333
comp 1	0006B9D8C8	1.363636364	1	7	0
comp 1	0006B9C383	1.818181818	1	3	0
comp 1	0006B9D3CB	2	0	1	0
comp 1	0006CC50D5	1.636363636	1	4	0
comp 1	0006B9AED6	1.272727273	0.821428571	8	2
comp 1	0006B8E0D4	1.363636364	1	7	0
comp 1	0006CC62B7	1.272727273	0.857142857	8	1
comp 1	0006B9BAB9	1.090909091	0.6	10	12.33333333
comp 1	0006B9D7D8	1.090909091	0.644444444	10	5.333333333
comp 1	0006CD682A	1.636363636	1	4	0
comp 2	0006B9C3BA	1	0	1	0
comp 2	0006CC78D9	1	0	1	0
comp 3	0006CC576C	1.954545455	1	2	0
comp 3	0006CC77E5	1.863636364	1	3	0
comp 3	0006CD4CDC	1.136363636	0.812865497	19	4.034615385
comp 3	0006CC44DB	1.181818182	0.875816993	18	1.801282051
comp 3	0006CC4228	1.181818182	0.875816993	18	1.801282051
comp 3	0006CC47D6	1.227272727	0.926470588	17	0.801282051
comp 3	0006B9E497	1.727272727	1	6	0
comp 3	0006CC4053	1.227272727	0.926470588	17	0.801282051
comp 3	0006B9C5E8	1.045454545	0.680952381	21	18.53461538
comp 3	0006CC49D7	1.318181818	0.971428571	15	0.237179487
comp 3	0006CC62D7	1.136363636	0.789473684	19	10.80128205
comp 3	0006CC7774	1.363636364	0.879120879	14	4
comp 3	0006B9D770	1.272727273	0.95	16	0.474358974
comp 3	0006CC4A3E	1.590909091	1	9	0
comp 3	0006B8D0DF	1.045454545	0.676190476	21	21.03461538
comp 3	0006CC79CA	1.136363636	0.812865497	19	4.034615385
comp 3	0006CD4E3B	1.409090909	1	13	0
comp 3	0006B9B745	1.409090909	1	13	0
comp 3	0006B9CCE9	1.409090909	1	13	0
comp 3	0006CC4C2F	1.136363636	0.812865497	19	4.034615385
comp 3	0006B9D225	1.181818182	0.875816993	18	1.801282051
comp 3	0006CC77B2	1.909090909	1	3	0
comp 3	0006CC62BF	1.136363636	0.719298246	19	13.80769231
comp 4	0006954D6A	1	0.666666667	7	2.2
comp 4	0006B8E2FD	1.428571429	0.833333333	4	0.2
comp 4	0006B9D1A1	1.285714286	0.9	5	0.2
comp 4	0006CD3C53	1.285714286	0.8	5	0.5
comp 4	0006CD65BE	1.285714286	0.8	5	0.5
comp 4	0006CC4AE7	1.571428571	1	3	0
comp 4	0006954921	1.142857143	0.733333333	6	1.2
comp 4	0006B8CED4	1	0.666666667	7	2.2
comp 5	00069555C7	1	0	1	0
comp 5	0006CD3416	1	0	1	0
comp 6	0006CD8A0D	1.1	0.722222222	9	4.9
comp 6	00069552DA	1.3	0.714285714	7	9
comp 6	0006CC527C	1.1	0.722222222	9	4.9
comp 6	0006CC578B	1.5	1	6	0
comp 6	0006B8DC8F	1.2	0.892857143	8	0.9
comp 6	0006CC4E98	1.2	0.892857143	8	0.9
comp 6	0006CC4E93	1.3	0.952380952	7	0.333333333
comp 6	0006CC53B6	1.4	0.952380952	7	0.166666667
comp 6	0006CD449E	1.2	0.892857143	8	0.9
comp 6	0006B8E98C	2.2	0	1	0
comp 6	0006CC6ADE	1.9	1	2	0
comp 7	0006CC7125	1	0	1	0
comp 7	0006B8BFCF	1	0	1	0
